Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,32.619999,32.709999,31.170000,32.009998,32.009998,698600
2015-01-06,32.189999,32.680000,30.700001,31.129999,31.129999,754200
2015-01-07,31.790001,32.380001,31.090000,32.000000,32.000000,628100
2015-01-08,32.240002,35.500000,32.020000,35.330002,35.330002,1249100
2015-01-09,34.669998,35.009998,33.500000,34.299999,34.299999,792600
2015-01-12,34.330002,35.939999,33.790001,35.330002,35.330002,833000
2015-01-13,35.740002,36.820000,34.500000,34.770000,34.770000,660100
2015-01-14,34.320000,35.020000,33.419998,34.770000,34.770000,571000
2015-01-15,34.779999,35.310001,33.650002,33.980000,33.980000,659800
2015-01-16,33.650002,34.580002,33.599998,34.180000,34.180000,712000
2015-01-20,34.509998,34.650002,32.869999,33.599998,33.599998,1004300
2015-01-21,33.650002,33.770000,33.000000,33.709999,33.709999,712200
2015-01-22,33.000000,33.630001,31.809999,33.520000,33.520000,1314700
2015-01-23,33.389999,34.369999,33.340000,34.150002,34.150002,692100
2015-01-26,33.980000,35.450001,33.980000,35.169998,35.169998,669100
2015-01-27,34.619999,35.150002,34.130001,34.200001,34.200001,381500
2015-01-28,33.689999,34.099998,32.529999,32.660000,32.660000,744000
2015-01-29,33.009998,33.240002,31.910000,32.169998,32.169998,466500
2015-01-30,32.040001,32.779999,31.610001,31.840000,31.840000,799200
2015-02-02,32.560001,32.750000,31.350000,31.969999,31.969999,533400
2015-02-03,32.060001,32.849998,31.570000,32.849998,32.849998,513900
2015-02-04,32.860001,33.849998,32.639999,33.740002,33.740002,667200
2015-02-05,33.730000,34.180000,33.189999,33.360001,33.360001,388000
2015-02-06,33.520000,33.669998,32.799999,32.980000,32.980000,263900
2015-02-09,32.959999,33.869999,32.509998,32.939999,32.939999,527600
2015-02-10,33.830002,33.830002,33.000000,33.750000,33.750000,448400
2015-02-11,33.900002,34.560001,33.500000,33.750000,33.750000,432100
2015-02-12,33.660000,33.889999,33.200001,33.380001,33.380001,317600
2015-02-13,33.299999,36.189999,33.299999,35.700001,35.700001,1142200
2015-02-17,35.599998,37.740002,35.169998,37.450001,37.450001,1045200
2015-02-18,37.419998,38.259998,37.130001,37.549999,37.549999,526100
2015-02-19,37.230000,38.000000,36.000000,36.240002,36.240002,406700
2015-02-20,36.150002,36.990002,36.110001,36.660000,36.660000,425000
2015-02-23,36.500000,37.869999,36.500000,37.750000,37.750000,728200
2015-02-24,37.980000,38.500000,37.250000,38.410000,38.410000,629300
2015-02-25,37.740002,38.299999,37.439999,37.900002,37.900002,814900
2015-02-26,36.900002,37.549999,34.759998,36.049999,36.049999,1567400
2015-02-27,37.130001,38.349998,36.750000,37.599998,37.599998,1152900
2015-03-02,37.360001,38.270000,37.029999,37.400002,37.400002,574100
2015-03-03,37.000000,38.439999,36.990002,38.119999,38.119999,469100
2015-03-04,38.250000,39.060001,38.000000,38.860001,38.860001,425900
2015-03-05,39.290001,39.580002,38.669998,39.240002,39.240002,462100
2015-03-06,39.250000,39.389999,37.849998,39.009998,39.009998,510900
2015-03-09,39.150002,39.150002,37.150002,37.209999,37.209999,539400
2015-03-10,36.919998,37.230000,36.389999,36.770000,36.770000,404300
2015-03-11,36.889999,37.330002,36.619999,37.240002,37.240002,249300
2015-03-12,37.230000,37.849998,37.119999,37.779999,37.779999,354400
2015-03-13,37.439999,38.270000,37.209999,38.209999,38.209999,333600
2015-03-16,38.049999,38.610001,37.250000,38.470001,38.470001,465500
2015-03-17,38.610001,39.880001,38.459999,39.790001,39.790001,592400
2015-03-18,39.380001,40.160000,38.110001,40.099998,40.099998,1071200
2015-03-19,40.910000,41.389999,39.509998,41.369999,41.369999,930500
2015-03-20,41.410000,42.650002,41.139999,41.630001,41.630001,931900
2015-03-23,41.380001,42.810001,41.080002,41.919998,41.919998,681100
2015-03-24,42.099998,42.660000,41.310001,41.660000,41.660000,608800
2015-03-25,41.369999,42.490002,41.209999,41.500000,41.500000,670400
2015-03-26,41.419998,42.119999,40.720001,41.770000,41.770000,642500
2015-03-27,41.820000,42.590000,41.360001,42.400002,42.400002,545400
2015-03-30,42.709999,42.840000,41.299999,42.470001,42.470001,767400
2015-03-31,42.470001,42.470001,41.000000,41.380001,41.380001,737900
2015-04-01,45.480000,46.230000,40.860001,41.330002,41.330002,2732300
2015-04-02,41.330002,41.849998,40.590000,41.279999,41.279999,814600
2015-04-06,40.959999,42.180000,40.799999,41.590000,41.590000,1533100
2015-04-07,41.540001,42.660000,41.310001,41.889999,41.889999,639900
2015-04-08,42.000000,43.020000,41.470001,42.980000,42.980000,547400
2015-04-09,42.730000,43.570000,42.549999,43.419998,43.419998,501700
2015-04-10,43.380001,43.860001,42.849998,42.930000,42.930000,428200
2015-04-13,43.660000,44.000000,43.189999,43.240002,43.240002,728100
2015-04-14,43.139999,43.529999,42.500000,43.500000,43.500000,526600
2015-04-15,43.470001,44.299999,43.200001,43.950001,43.950001,475300
2015-04-16,43.959999,44.439999,43.320000,43.630001,43.630001,421900
2015-04-17,43.520000,43.520000,42.320000,42.599998,42.599998,540500
2015-04-20,42.740002,43.049999,42.400002,42.700001,42.700001,366800
2015-04-21,42.720001,42.849998,41.700001,41.770000,41.770000,370200
2015-04-22,41.790001,42.439999,41.430000,42.160000,42.160000,433800
